id,User Story,refair_domain,refair_ml_tasks,refair_features,refair_features_por_task,ml_task_vazio,erro
A1US1Ge,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",News,,,,Sim,
A1US2Ge,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.",Movies,ranking; representation learning,age; gender,"ranking: age, gender | representation learning: age, gender",Não,
A1US3Ge,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",Health,,,,Sim,
A1US4Ge,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",Biology,classification,,classification: —,Não,
A1US5Ge,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.",Education,data summarization,age; caste; gender; geography; race; sex,"data summarization: age, caste, gender, geography, race, sex",Não,
A1US6Ge,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",Health,,,,Sim,
A1US7Ge,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well- being of all road users.",Literature,clustering; ranking,author; gender; textual references to people and their demographics,"clustering: author, gender, textual references to people and their demographics | ranking: gender",Não,
A1US8Ge,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",Biology,,,,Sim,
A1US9Ge,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",Health,,,,Sim,
A1US10Ge,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",Plant Science,,,,Sim,
A1US1Ll,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial revolution, so that I can contribute to the development of innovative solutions for industry 4.0.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A1US2Ll,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).",Education,classification; regression; representation learning,age; geography; race; sex; ethnicity; family wealth; gender; financial status,"classification: age, geography, race, sex, ethnicity, family wealth, gender | regression: age, ethnicity, financial status, gender, geography, race, sex | representation learning: age, ethnicity, financial status, gender, geography, race, sex",Não,
A1US3Ll,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I can minimize the likelihood of human error and ensure a safer driving experience.",Law,,,,Sim,
A1US4Ll,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provide, so that I can feel more confident and secure on the road.",News,,,,Sim,
A1US5Ll,"As a business owner, I want to explore the new market opportunities and revenue streams that Autonomous Vehicles (AVs) can offer, so that I can expand my business and stay competitive in the industry.",Biology,,,,Sim,
A1US6Ll,"As a fleet manager, I want to reduce fuel consumption and emissions by using Autonomous Vehicles (AVs), so that I can minimize my organization's environmental footprint and save on fuel costs.",Literature,clustering,author; gender; textual references to people and their demographics,"clustering: author, gender, textual references to people and their demographics",Não,
A1US7Ll,"As a passenger, I want to enjoy the increased comfort and convenience of Autonomous Vehicles (AVs), including the release of driver time and business opportunities, so that I can be more productive and relaxed during my journey.",Literature,,,,Sim,
A1US8Ll,"As a developer, I want to design and develop AI-powered Autonomous Vehicles (AVs) that can process large- scale data from sensors and devices, so that I can create a more efficient and reliable transportation system.",Medicine,,,,Sim,
A1US9Ll,"As a regulator, I want to ensure that Autonomous Vehicles (AVs) meet the highest safety standards and are tested rigorously to minimize risk, so that I can protect the public and ensure a safe and reliable transportation system.",Biology,,,,Sim,
A1US10Ll,"As a commuter, I want to benefit from the reduced traffic congestion and parking needs that Autonomous Vehicles (AVs) can provide, so that I can save time and reduce stress during my daily commute.",Biology,classification,,classification: —,Não,
A1US1O1,"As a passenger, I want the AV to detect hazards in real-time using AI sensors, so that my safety is ensured.",Literature,,,,Sim,
A1US2O1,"As a fleet manager, I want to monitor AV performance data via IoT, so that I can proactively manage maintenance.",Literature,ranking,gender,ranking: gender,Não,
A1US3O1,"As a driver, I want the AV to predict and prevent collisions using AI, so that accidents are significantly reduced.",News,bias detection in word embeddings; clustering; ranking,textual references to people and their demographics; author; geography; news provider,"bias detection in word embeddings: textual references to people and their demographics | clustering: author, geography, textual references to people and their demographics | ranking: geography, news provider",Não,
A1US4O1,"As a transportation executive, I want the AV to optimize fuel consumption with AI, so that operational costs are minimized.",Transportation,,,,Sim,
A1US5O1,"As a passenger, I want the AV to navigate autonomously through traffic using AI and IoT, so that my travel is seamless and stress-free.",Literature,,,,Sim,
A1US6O1,"As a commuter, I want the AV to handle driving tasks autonomously, so that I can use my travel time productively.",Biology,classification,,classification: —,Não,
A1US7O1,"As an environmental advocate, I want the AV to reduce emissions through AI-optimized routes, so that it contributes to a cleaner environment.",Education,data summarization,age; caste; gender; geography; race; sex,"data summarization: age, caste, gender, geography, race, sex",Não,
A1US8O1,"As a software engineer, I want the AV to efficiently process large-scale sensor data using AI and IoT, so that it makes informed decisions quickly.",Literature,,,,Sim,
A1US9O1,"As a business strategist, I want to leverage AI and IoT in AVs to explore new market opportunities, so that the company can expand its revenue streams.",Biology,,,,Sim,
A1US10O1,"As a network administrator, I want the AV to maintain low- latency connectivity through IoT, so that it can communicate effectively for safe operations.",Computer Networks,,,,Sim,
A2US1Ge,"As a parent, I want a device that can track my child's physical activity and potentially identify aggressive episodes so that I can intervene and provide support.",Music,,,,Sim,
A2US2Ge,"As a teacher, I want a tool that can discreetly monitor student activity levels in the classroom and alert me to potential aggression so that I can de-escalate situations before they escalate.",News,bias detection in word embeddings; clustering; ranking,textual references to people and their demographics; author; geography; news provider,"bias detection in word embeddings: textual references to people and their demographics | clustering: author, geography, textual references to people and their demographics | ranking: geography, news provider",Não,
A2US3Ge,"As a therapist working with aggressive children, I want objective data on their physical activity patterns to track progress in anger management and de-escalation techniques.",Biology,,,,Sim,
A2US4Ge,"As a researcher studying childhood aggression, I want access to a non- invasive method for collecting real-time data on physical aggression in children so that I can better understand its triggers and consequences.",Health,,,,Sim,
A2US5Ge,"As a school administrator, I want a system that helps identify students at risk of aggressive behavior so that I can implement targeted interventions and create a safer learning environment.",Movies,representation learning,age; gender,"representation learning: age, gender",Não,
A2US6Ge,"As a child with a history of aggression, I want a wearable device that helps me and my parents monitor my activity levels and receive alerts when aggressive behavior might be escalating.",News,bias detection in word embeddings; clustering,textual references to people and their demographics; author; geography,"bias detection in word embeddings: textual references to people and their demographics | clustering: author, geography, textual references to people and their demographics",Não,
A2US7Ge,"As a healthcare provider working with children with ADHD, I want a tool that can differentiate between ADHD- related hyperactivity and physical aggression so that I can provide the most appropriate treatment.",Health,regression,age; ethnicity; gender; geography; sex,"regression: age, ethnicity, gender, geography, sex",Não,
A2US8Ge,"As a developer of wearable technology for children, I want to integrate machine learning models for aggression detection into my devices to provide parents and educators with additional insights into children's behavior.",Biology,,,,Sim,
A2US9Ge,"As a data privacy advocate, I want assurances that any wearable device used for aggression detection collects data securely and protects children's privacy.",Linguistics,,,,Sim,
A2US10Ge,"As a policymaker, I want to explore the potential of wearable-based aggression detection for early intervention programs and violence prevention initiatives in schools and childcare settings.",Finance & Marketing,anomaly detection,age; gender; race; sex,"anomaly detection: age, gender, race, sex",Não,
A2US1Ll,"As a researcher, I want to develop an objective method to track physical- aggressive incidents in children, so that I can identify early warning signs and provide timely interventions.",Biology,,,,Sim,
A2US2Ll,"As a parent, I want to know if my child is experiencing aggressive episodes, so that I can provide support and guidance to help them manage their emotions and behaviors.",Music,,,,Sim,
A2US3Ll,"As a clinician, I want to use wearable-sensor- derived physical activity data to identify patterns that distinguish physical-aggressive incidents in children, so that I can develop targeted treatments and interventions.",Medicine,classification; classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
