id,User Story,role_shorten,equivalent_domain,equivalent_ml_task,equivalent_ml_task_labels,domain_confidence,sensitive_features_esperados,sensitive_features_por_task,tem_sensitive_features
A1US1Ge,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",driver,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US2Ge,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.",city planner,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US3Ge,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",car manufacturer,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US4Ge,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",visually impaired person,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US5Ge,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.",environmentalist,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US6Ge,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",professional,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US7Ge,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well- being of all road users.",advocate,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US8Ge,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",cybersecurity expert,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US9Ge,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",advocate,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US10Ge,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",company,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US1Ll,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial revolution, so that I can contribute to the development of innovative solutions for industry 4.0.",researcher,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US2Ll,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data from various sources, including storage, actuation, sensing, advanced services, and communication technologies, so that I can enable the transformation towards fully smart Autonomous Vehicles (AVs).",engineer,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US3Ll,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I can minimize the likelihood of human error and ensure a safer driving experience.",safety expert,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
A1US4Ll,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provide, so that I can feel more confident and secure on the road.",driver,Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,High,geography; race,"Classification: geography, race | Regression: geography, race | Ranking: geography, race | Representation Learning: geography, race | Clustering: geography, race | Anomaly Detection: race | Spatio-Temporal Process Learning: geography, race | Graph Mining: geography | Sentiment Analysis: race | Bias Detection in Word Embeddings: race | Bias Detection in Language Models: race, geography | Machine Translation: — | Speech Recognition: geography",Sim
