id,abstract,abstract_theme,us_num,llm,role_shorten,user_story,equivalent_domain,equivalent_ml_task,equivalent_ml_task_labels,num_ml_task_labels,domain_confidence,mapping_notes
A1US1Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US1,Gemini_1.5_flash,driver,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing my risk of accidents.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US2Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US2,Gemini_1.5_flash,city planner,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and reduce congestion.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US3Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US3,Gemini_1.5_flash,car manufacturer,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their surroundings and make safe driving decisions.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US4Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US4,Gemini_1.5_flash,visually impaired person,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independence.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US5Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US5,Gemini_1.5_flash,environmentalist,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US6Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US6,Gemini_1.5_flash,professional,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me valuable time.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US7Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US7,Gemini_1.5_flash,advocate,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well- being of all road users.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US8Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US8,Gemini_1.5_flash,cybersecurity expert,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cyberattacks.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US9Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US9,Gemini_1.5_flash,advocate,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
A1US10Ge,A1,Autonomous vehicles (AI + real-time data for perception & collision avoidance),US10,Gemini_1.5_flash,company,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",Transportation,machine perception,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,13,High,
