id,User Story,refair_domain,refair_ml_tasks,refair_features,refair_features_por_task,ml_task_vazio,erro
A1US1Ge,as a driver i want a car that uses ai and real time data to react faster than humans in emergency situations reducing my risk of accidents,Computer Vision,classification,age; geography; race; disability; gender; skin tone; skin type,"classification: age, geography, race, disability, gender, skin tone, skin type",Não,
A1US2Ge,as a city planner i want a traffic management system that uses ai and connected vehicles to optimize traffic flow and reduce congestion,Transportation,regression,geography; race,"regression: geography, race",Não,
A1US3Ge,as a car manufacturer i want to develop avs with advanced sensors and ai algorithms that can accurately perceive their surroundings and make safe driving decisions,Computer Vision,classification,age; geography; race; disability; gender; skin tone; skin type,"classification: age, geography, race, disability, gender, skin tone, skin type",Não,
A1US4Ge,as a blind or visually impaired person i want an av that can safely navigate me around town giving me greater independence,Computer Vision,classification; representation learning,age; geography; race; disability; gender; skin tone; skin type; skin color,"classification: age, geography, race, disability, gender, skin tone, skin type | representation learning: age, gender, geography, race, skin color, skin tone",Não,
A1US5Ge,as an environmentalist i want avs that are programmed for fuel efficiency and can reduce overall emissions and pollution in our cities,Transportation,anomaly detection; representation learning,race; geography,"anomaly detection: race | representation learning: geography, race",Não,
A1US6Ge,as a busy professional i want an av that can take me to meetings or appointments while i work on other tasks saving me valuable time,Transportation,regression,geography; race,"regression: geography, race",Não,
A1US7Ge,as a safety advocate i want clear regulations and safety standards for avs to ensure the well being of all road users,Transportation,matching; pricing; regression,geography; race,"matching: geography, race | pricing: geography | regression: geography, race",Não,
A1US8Ge,as a cybersecurity expert i want avs to be equipped with robust security measures to protect them from hacking and cyberattacks,Information Systems,classification; matching; representation learning,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | matching: age, gender, geography, race | representation learning: age, gender, geography, race, sex, skin tone",Não,
A1US9Ge,as a data privacy advocate i want control over the data collected by avs and ensure it's used responsibly and securely,Information Systems,classification; data summarization; ranking,age; geography; race; sex; gender; skin tone; textual references to people and their demographics; ethnic group; news provider; ownership; tour availability,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone | ranking: age, ethnic group, gender, geography, news provider, ownership, race, sex, tour availability",Não,
A1US10Ge,as a delivery company i want to explore the use of avs for efficient and cost effective last mile delivery services,Health,classification; matching; pricing; regression; representation learning,age; geography; sex; ethnicity; gender,"classification: age, geography, sex, ethnicity, gender | matching: age, gender, geography | pricing: age, gender, geography | regression: age, ethnicity, gender, geography, sex | representation learning: age, ethnicity, gender, geography, sex",Não,
A1US1Ll,as a researcher i want to explore the possibilities of artificial intelligence ai in enabling the smart industrial revolution so that i can contribute to the development of innovative solutions for industry 4 0,Medicine,classification,age; race; sex; ethnicity; gender,"classification: age, race, sex, ethnicity, gender",Não,
A1US2Ll,as an engineer i want to design and develop internet of things iot infrastructure that can collect and process data from various sources including storage actuation sensing advanced services and communication technologies so that i can enable the transformation towards fully smart autonomous vehicles avs,Information Systems,classification; data summarization; ranking; representation learning,age; geography; race; sex; gender; skin tone; textual references to people and their demographics; ethnic group; news provider; ownership; tour availability,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics | data summarization: age, gender, geography, race, sex, skin tone | ranking: age, ethnic group, gender, geography, news provider, ownership, race, sex, tour availability | representation learning: age, gender, geography, race, sex, skin tone",Não,
A1US3Ll,as a safety expert i want to utilize ai and iot to reduce the risk of accidents and improve vehicle safety so that i can minimize the likelihood of human error and ensure a safer driving experience,Transportation,anomaly detection; classification; machine translation; other; ranking; task assignment,race; geography,"anomaly detection: race | classification: geography, race | machine translation: — | other: — | ranking: geography, race | task assignment: geography",Não,
A1US4Ll,as a driver i want to benefit from the increased safety and reduced accidents that autonomous vehicles avs can provide so that i can feel more confident and secure on the road,Transportation,classification; representation learning,geography; race,"classification: geography, race | representation learning: geography, race",Não,
A1US5Ll,as a business owner i want to explore the new market opportunities and revenue streams that autonomous vehicles avs can offer so that i can expand my business and stay competitive in the industry,Finance & Marketing,anomaly detection; classification; clustering; data summarization; ranking; representation learning,age; gender; race; sex; geography; activity,"anomaly detection: age, gender, race, sex | classification: age, geography, race, sex, gender | clustering: age, gender, geography, race, sex | data summarization: age, gender, geography, race, sex | ranking: activity, age, gender, geography, race, sex | representation learning: age, gender, geography, race, sex",Não,
A1US6Ll,as a fleet manager i want to reduce fuel consumption and emissions by using autonomous vehicles avs so that i can minimize my organization's environmental footprint and save on fuel costs,Transportation,anomaly detection; classification; representation learning,race; geography,"anomaly detection: race | classification: geography, race | representation learning: geography, race",Não,
A1US7Ll,as a passenger i want to enjoy the increased comfort and convenience of autonomous vehicles avs including the release of driver time and business opportunities so that i can be more productive and relaxed during my journey,Transportation,pricing,geography,pricing: geography,Não,
A1US8Ll,as a developer i want to design and develop ai powered autonomous vehicles avs that can process large scale data from sensors and devices so that i can create a more efficient and reliable transportation system,Transportation,pricing; regression,geography; race,"pricing: geography | regression: geography, race",Não,
A1US9Ll,as a regulator i want to ensure that autonomous vehicles avs meet the highest safety standards and are tested rigorously to minimize risk so that i can protect the public and ensure a safe and reliable transportation system,Transportation,regression,geography; race,"regression: geography, race",Não,
A1US10Ll,as a commuter i want to benefit from the reduced traffic congestion and parking needs that autonomous vehicles avs can provide so that i can save time and reduce stress during my daily commute,Transportation,regression,geography; race,"regression: geography, race",Não,
A1US1O1,as a passenger i want the av to detect hazards in real time using ai sensors so that my safety is ensured,Transportation,regression,geography; race,"regression: geography, race",Não,
A1US2O1,as a fleet manager i want to monitor av performance data via iot so that i can proactively manage maintenance,Information Systems,classification,age; geography; race; sex; gender; skin tone; textual references to people and their demographics,"classification: age, geography, race, sex, gender, skin tone, textual references to people and their demographics",Não,
A1US3O1,as a driver i want the av to predict and prevent collisions using ai so that accidents are significantly reduced,Transportation,anomaly detection; classification; data summarization; graph mining; machine translation; ranking; representation learning; spatio-temporal process learning; subset selection,race; geography,"anomaly detection: race | classification: geography, race | data summarization: geography, race | graph mining: geography | machine translation: — | ranking: geography, race | representation learning: geography, race | spatio-temporal process learning: geography, race | subset selection: geography, race",Não,
A1US4O1,as a transportation executive i want the av to optimize fuel consumption with ai so that operational costs are minimized,Transportation,anomaly detection; bias detection in language models; classification; clustering; data summarization; graph mining; machine translation; other; representation learning; resource allocation; sentiment analysis,race; geography,"anomaly detection: race | bias detection in language models: race, geography | classification: geography, race | clustering: geography, race | data summarization: geography, race | graph mining: geography | machine translation: — | other: — | representation learning: geography, race | resource allocation: race, geography | sentiment analysis: race",Não,
A1US5O1,as a passenger i want the av to navigate autonomously through traffic using ai and iot so that my travel is seamless and stress free,Transportation,anomaly detection; classification; representation learning; sentiment analysis,race; geography,"anomaly detection: race | classification: geography, race | representation learning: geography, race | sentiment analysis: race",Não,
