id,User Story,domain_refair,domain_gabarito,domain_ok,domain_confidence,ml_tasks_refair,ml_labels_gabarito,ml_task_vazio_refair,features_refair,features_gabarito
A1US1Ge,"As a driver, I want a car that uses AI and real-time data to react faster than humans in emergency situations, reducing ",News,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US2Ge,"As a city planner, I want a traffic management system that uses AI and connected vehicles to optimize traffic flow and r",Movies,Transportation,ERRO,High,ranking; representation learning,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; gender,geography; race
A1US3Ge,"As a car manufacturer, I want to develop AVs with advanced sensors and AI algorithms that can accurately perceive their ",Health,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US4Ge,"As a blind or visually impaired person, I want an AV that can safely navigate me around town, giving me greater independ",Biology,Transportation,ERRO,High,classification,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,,geography; race
A1US5Ge,"As an environmentalist, I want AVs that are programmed for fuel efficiency and can reduce overall emissions and pollutio",Education,Transportation,ERRO,High,data summarization,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; caste; gender; geography; race; sex,geography; race
A1US6Ge,"As a busy professional, I want an AV that can take me to meetings or appointments while I work on other tasks, saving me",Health,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US7Ge,"As a safety advocate, I want clear regulations and safety standards for AVs to ensure the well- being of all road users.",Literature,Transportation,ERRO,High,clustering; ranking,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,author; gender; textual references to people and their demographics,geography; race
A1US8Ge,"As a cybersecurity expert, I want AVs to be equipped with robust security measures to protect them from hacking and cybe",Biology,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US9Ge,"As a data privacy advocate, I want control over the data collected by AVs and ensure it's used responsibly and securely.",Health,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US10Ge,"As a delivery company, I want to explore the use of AVs for efficient and cost-effective last-mile delivery services.",Plant Science,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US1Ll,"As a researcher, I want to explore the possibilities of Artificial Intelligence (AI) in enabling the smart industrial re",Medicine,Transportation,ERRO,High,classification; classification,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; race; sex; ethnicity; gender,geography; race
A1US2Ll,"As an engineer, I want to design and develop Internet of Things (IoT) infrastructure that can collect and process data f",Education,Transportation,ERRO,High,classification; regression; representation learning,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Não,age; geography; race; sex; ethnicity; family wealth; gender; financial status,geography; race
A1US3Ll,"As a safety expert, I want to utilize AI and IoT to reduce the risk of accidents and improve vehicle safety, so that I c",Law,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
A1US4Ll,"As a driver, I want to benefit from the increased safety and reduced accidents that Autonomous Vehicles (AVs) can provid",News,Transportation,ERRO,High,,Classification; Regression; Ranking; Representation Learning; Clustering; Anomaly Detection; Spatio-Temporal Process Learning; Graph Mining; Sentiment Analysis; Bias Detection in Word Embeddings; Bias Detection in Language Models; Machine Translation; Speech Recognition,Sim,,geography; race
