id,dominio_esperado,dominio_previsto,acerto,User Story
A9US10Ge,Cardiology,Cardiology,OK,"As a researcher evaluating the system, I want access to performance metrics and detailed results to assess the effectiveness of the incremental learning approach in heart disease diagnosis."
A9US1Ge,Cardiology,Cardiology,OK,"As a doctor diagnosing heart disease, I want a fast and accurate prediction tool that can handle missing data in patient records."
A9US1O1,Cardiology,Cardiology,OK,"As a cardiologist, I want the system to quickly analyze patient data using incremental Fuzzy SVM, so I can receive timely and accurate heart disease diagnoses."
A9US3Ll,Cardiology,Cardiology,OK,"As a researcher, I want to develop a predictive method for heart disease diagnosis using a combination of unsupervised and supervised learning techniques, including Principal Component Analysis (PCA) and Self-Organizing Map."
A9US5Ge,Cardiology,Cardiology,OK,"As a patient undergoing a heart disease diagnosis, I want to be assured that the tools used are accurate and up-to-date with the latest medical data."
A9US6Ge,Cardiology,Cardiology,OK,"As a developer of the heart disease prediction system, I want the ability to continuously update the model with new patient data using incremental learning techniques."
A9US6O1,Cardiology,Cardiology,OK,"As a medical researcher, I want to utilize both unsupervised and supervised learning techniques, so I can enhance the predictive capabilities and robustness of the heart disease diagnosis model."
A9US8Ge,Cardiology,Cardiology,OK,"As a system administrator, I want the heart disease prediction system to be secure and compliant with patient data privacy regulations."
A9US8Ll,Cardiology,Cardiology,OK,"As a researcher, I want to evaluate the effectiveness of the proposed method using real- world datasets, such as Cleveland and Statlog, to demonstrate its feasibility and accuracy in heart disease diagnosis."
A9US10Ll,Cardiology,Information Systems,ERRO,"As a system developer, I want to design and implement a clinical decision support system that can adapt to new data and changing patterns in medical datasets, ensuring that it remains accurate and effective over time."
A9US10O1,Cardiology,Education,ERRO,"As a medical educator, I want to use the predictive system as a teaching tool, so that students can learn about the application of machine learning techniques in disease diagnosis and understand the trade-offs between computation time and accuracy."
A9US1Ll,Cardiology,Medicine,ERRO,"As a clinician, I want a clinical decision support system that balances computation time and predictive accuracy to support timely and accurate disease diagnosis."
A9US2Ge,Cardiology,Computer Vision,ERRO,"As a researcher developing clinical decision support systems, I want to explore machine learning techniques like Fuzzy SVM for improved heart disease diagnosis."
A9US2Ll,Cardiology,Biology,ERRO,"As a data scientist, I want to use machine learning techniques with incremental updates to analyze large collections of medical datasets for disease diagnosis, reducing the computation time and improving predictive accuracy."
A9US2O1,Cardiology,Information Systems,ERRO,"As a data scientist, I want to apply Principal Component Analysis (PCA) for dimensionality reduction, so the model can process large medical datasets efficiently without losing critical information."
A9US3Ge,Cardiology,Health,ERRO,"As a healthcare administrator, I am concerned about the computational cost of diagnostic tools. I want a system that uses incremental learning to reduce processing time for heart disease prediction."
A9US3O1,Cardiology,Health,ERRO,"As a healthcare administrator, I want the diagnostic system to reduce computation time, so that more patients can be evaluated promptly without increasing resource costs."
A9US4Ge,Cardiology,Biology,ERRO,"As a data scientist working with medical datasets, I want tools like Principal Component Analysis (PCA) and Self-Organizing Maps (SOM) to help me pre- process and analyze data for heart disease diagnosis."
A9US4Ll,Cardiology,Information Systems,ERRO,"As a developer, I want to implement Fuzzy Support Vector Machine (Fuzzy SVM) to improve the accuracy of heart disease classification and reduce the impact of missing values in medical datasets."
A9US4O1,Cardiology,Nephrology,ERRO,"As a patient, I want my heart disease diagnosis to be accurate and delivered swiftly, so I can begin appropriate treatment without unnecessary delays."
A9US5Ll,Cardiology,Biology,ERRO,"As a data analyst, I want to use imputation techniques to handle missing values in medical datasets, ensuring that the data is complete and accurate for analysis."
A9US5O1,Cardiology,Information Systems,ERRO,"As a software developer, I want to implement incremental learning techniques in the Fuzzy SVM model, so the system can continuously improve its accuracy with new data without extensive reprocessing."
A9US7Ge,Cardiology,Health,ERRO,"As a healthcare provider using the system, I want clear explanations and visualizations of the model's predictions, along with information about the confidence level of the diagnosis."
A9US7Ll,Cardiology,Biology,ERRO,"As a clinician, I want to use a clinical decision support system that can learn from new data incrementally, improving its predictive accuracy over time without requiring retraining from scratch."
A9US7O1,Cardiology,Information Systems,ERRO,"As a clinical decision support specialist, I want the system to handle missing values effectively using imputation techniques, so that incomplete patient data does not compromise diagnosis accuracy."
